id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,period_yield_pct,asset_growth_pct,growth_factor,cumulative_growth,period_yield_pct_cumprod
194,Magas kötvény arányú vegyes eszk. - D,2025-06-12,1.0953,2025-06-13,1.0953,0.0,-0.0821,1.0,1.0004,0.04
195,Magas védelmû vegyes eszközalap,2025-06-12,1.0928,2025-06-13,1.0915,-0.0012,-0.1188,0.9988,1.0001,0.01
196,Nemz. élelmiszeripari cégek rv. ea - D,2025-06-12,3.263,2025-06-13,3.2431,-0.0061,-0.7754,0.9939,0.981,-1.9
197,Nyersanyagpiaci részvény eszközalap,2025-06-12,1.3235,2025-06-13,1.3134,-0.0076,-0.4288,0.9924,0.9994,-0.06
198,Presztízs- és luxusmárkák rv. ea.,2025-06-12,3.379,2025-06-13,3.3246,-0.0161,-0.1153,0.9839,0.9843,-1.57
199,USA részvény eszközalap,2025-06-12,4.1511,2025-06-13,4.1246,-0.0064,-0.81,0.9936,1.0004,0.04
200,Ázsia kötvény eszközalap,2025-06-12,2.2315,2025-06-13,2.2139,-0.0079,-0.1968,0.9921,0.9938,-0.62
201,Aktív hozamfigyelõ vegyes eszközalap - D,2025-06-13,0.9271,2025-06-14,0.9212,-0.0064,0.0216,0.9936,0.9975,-0.25
202,Euró likviditás eszközalap - D,2025-06-13,0.9246,2025-06-14,0.9239,-0.0008,0.0216,0.9992,0.9985,-0.15
203,Európai ingatlancégek részv. eszközalap,2025-06-13,1.8855,2025-06-14,1.8682,-0.0092,-0.9092,0.9908,0.9681,-3.19
204,Európai kötvény eszközalap - D,2025-06-13,1.2372,2025-06-14,1.2323,-0.004,0.2025,0.996,0.9958,-0.42
205,Európai részvény eszközalap,2025-06-13,2.5238,2025-06-14,2.4953,-0.0113,-0.5556,0.9887,0.993,-0.7
206,Európai vállalati kötvény eszközalap,2025-06-13,1.3169,2025-06-14,1.3126,-0.0032,0.1445,0.9968,0.9972,-0.28
207,Fejlõdõ piaci részvény ESG eszközalap-D,2025-06-13,1.0317,2025-06-14,1.0204,-0.0109,-1.2633,0.9891,0.998,-0.2
208,Fejlõdõ ázsiai részvény eszközalap,2025-06-13,1.9879,2025-06-14,1.9842,-0.0019,-0.6199,0.9981,1.0232,2.32
209,Fenntartható növekedés részvény eszk.,2025-06-13,3.016,2025-06-14,2.9848,-0.0103,-0.698,0.9897,0.9943,-0.57
210,Globális egészségügyi részvény eszk.,2025-06-13,3.2459,2025-06-14,3.2484,0.0008,0.0802,1.0008,1.026,2.6
211,Globális növekedési részvény eszközalap,2025-06-13,2.2603,2025-06-14,2.2411,-0.0085,-0.5544,0.9915,0.9874,-1.26
