id,asset,opening_date,opening_euro_value,closing_date,closing_euro_value,yield_ratio,growth_factor,cumulative_growth,yield_ratio_cumprod,value_ma_50d,value_ma_100d,value_ma_200d,yield_ma_50d,yield_ma_100d,yield_ma_200d,ma50_diff,ma50_diff_ratio,ma100_diff,ma100_diff_ratio,ma200_diff,ma200_diff_ratio
7441,Aktív hozamfigyelõ vegyes eszközalap - D,2026-06-10,0.953,2026-06-11,0.9482,-0.005,0.995,0.9933,-0.0067,0.9516899999999999,0.9426640000000001,0.9484805000000001,8.200000000000004e-05,-0.000139,-1.999999999999999e-05,0.003489999999999882,0.003680658089010633,-0.005535999999999985,-0.005838430710820486,0.00028050000000001685,0.0002958236658932892
7442,Euró likviditás eszközalap - D,2026-06-10,0.9237,2026-06-11,0.9232,-0.0005,0.9995,0.9973,-0.0027,0.9231440000000001,0.92273,0.924835,1.2000000000000014e-05,-4.099999999999999e-05,-5e-06,-5.599999999994498e-05,-6.0658578856092915e-05,-0.00046999999999997044,-0.0005090987868283909,0.001634999999999942,0.0017710138648179615
7443,Európai ingatlancégek részv. eszközalap,2026-06-10,1.8008,2026-06-11,1.827,0.0145,1.0145,1.0107,0.0107,1.838622,1.842096,1.861671,-0.00024199999999999965,-0.00026700000000000004,0.0006394999999999999,0.011622000000000021,0.0063612479474548555,0.015095999999999998,0.008262725779967159,0.03467100000000012,0.01897701149425294
7444,Európai kötvény eszközalap - D,2026-06-10,1.2259,2026-06-11,1.2246,-0.001,0.999,0.9928,-0.0072,1.2243339999999998,1.223025,1.2293745,6.999999999999995e-05,-0.00011200000000000001,1.1999999999999983e-05,-0.0002660000000000995,-0.00021721378409284624,-0.001574999999999882,-0.0012861342479175912,0.004774500000000126,0.003898824105830578
7445,Európai részvény eszközalap,2026-06-10,2.9484,2026-06-11,2.9355,-0.0044,0.9956,1.0911,0.0911,2.8837239999999995,2.820101,2.794522,0.0005480000000000002,0.000391,0.000602,-0.05177600000000071,-0.01763788111054359,-0.11539900000000003,-0.03931153125532278,-0.14097800000000005,-0.04802520865269972
7446,Európai vállalati kötvény eszközalap,2026-06-10,1.3269,2026-06-11,1.3256,-0.0009,0.9991,1.0097,0.0097,1.323994,1.3207220000000002,1.325301,6.999999999999997e-05,1.0999999999999981e-05,4.95e-05,-0.0016059999999999963,-0.0012115268557634253,-0.004877999999999716,-0.003679843089921331,-0.0002989999999998272,-0.00022555823777898853
7447,Fejlõdõ piaci részvény ESG eszközalap-D,2026-06-10,1.3163,2026-06-11,1.3112,-0.0039,0.9961,1.0281,0.0281,1.311802,1.257364,1.223402,-0.000698,-0.00016899999999999985,0.0002745000000000001,0.0006019999999999914,0.00045912141549724793,-0.053835999999999995,-0.04105857230018304,-0.08779799999999982,-0.06696003660768748
7448,Fejlõdõ ázsiai részvény eszközalap,2026-06-10,3.276,2026-06-11,3.1804,-0.0292,0.9708,1.2682,0.2682,3.231294,3.0421750000000003,2.8030464999999998,-0.0007500000000000002,0.0002289999999999999,0.0008684999999999999,0.050893999999999995,0.016002389636523704,-0.13822499999999982,-0.043461514274933916,-0.37735350000000034,-0.11864969815117606
7449,Fenntartható növekedés részvény eszk.,2026-06-10,3.2134,2026-06-11,3.1714,-0.0131,0.9869,0.9408,-0.0592,3.1765179999999997,3.082579,3.124223,0.0005059999999999998,-3.999999999999958e-06,-7.300000000000001e-05,0.005117999999999512,0.001613798322507256,-0.08882100000000026,-0.028006873935801303,-0.047177000000000024,-0.014875764646528353
7450,Globális egészségügyi részvény eszk.,2026-06-10,3.4453,2026-06-11,3.4654,0.0058,1.0058,1.1173,0.1173,3.3903719999999997,3.4149190000000003,3.5157325000000004,0.001034,-6.399999999999998e-05,9.450000000000003e-05,-0.0750280000000001,-0.021650603104980695,-0.050480999999999554,-0.01456714953540704,0.05033250000000056,0.014524297339412639
